"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Wolverhampton","Market Street, wolverhampton","Market Street, wolverhampton","NA"
2011,"Wolverhampton","Market Street, Wolverhampton","Market Street, Wolverhampton","NA"
2011,"Wolverhampton","Market Street, Wolverhampton.","Market Street, Wolverhampton.","NA"
2011,"Wolverhampton","Market Street, Wolves","Market Street, Wolves","NA"
2011,"Wolverhampton","Market Street, Wolves.","Market Street, Wolves.","NA"
2011,"Wolverhampton","Marsaton road","Marsaton road","NA"
2011,"Wolverhampton","Marston Rd wolverhampton","Marston Rd wolverhampton","NA"
2011,"Wolverhampton","Millcroft, wolves.","Millcroft, wolves.","NA"
2011,"Wolverhampton","Moseley  RD Wolverhampton","Moseley  RD Wolverhampton","NA"
2011,"Wolverhampton","Moseley Road, Bilston.","Moseley Road, Bilston.","NA"
2011,"Wolverhampton","Mount Pleasant","Mount Pleasant","NA"
2011,"Wolverhampton","Mount Plesant, Bilston","Mount Plesant, Bilston","NA"
2011,"Wolverhampton","Near yates wine bar, Wolves city centre.","Near yates wine bar, Wolves city centre.","NA"
2011,"Wolverhampton","New |cross Hospital","New |cross Hospital","NA"
2011,"Wolverhampton","New Cross Hospital","New Cross Hospital","NA"
2011,"Wolverhampton","New cross Hospital","New cross Hospital","NA"
2011,"Wolverhampton","New Cross Hospital","New Cross Hospital","NA"
2011,"Wolverhampton","New Cross Hospital","New Cross Hospital","NA"
2011,"Wolverhampton","New Cross hospital, wolverhampton","New Cross hospital, wolverhampton","NA"
2011,"Wolverhampton","New Cross Hospital, Wolverhampton","New Cross Hospital, Wolverhampton","NA"
2011,"Wolverhampton","New X Hospital","New X Hospital","NA"
2011,"Wolverhampton","New X Hospital, WÛton","New X Hospital, WÛton","NA"
2011,"Wolverhampton","Newcross Hospital","Newcross Hospital","NA"
2011,"Wolverhampton","Norfold Road, Pewnnfields, WÛton","Norfold Road, Pewnnfields, WÛton","NA"
2011,"Wolverhampton","North Street","North Street","NA"
2011,"Wolverhampton","North Street","North Street","NA"
2011,"Wolverhampton","North Street","North Street","NA"
2011,"Wolverhampton","North Street","North Street","NA"
2011,"Wolverhampton","North Street","North Street","NA"
2011,"Wolverhampton","North Street Town Centre Wolverhampton","North Street Town Centre Wolverhampton","NA"
2011,"Wolverhampton","Northwood Park Road, Wolves.","Northwood Park Road, Wolves.","NA"
2011,"Wolverhampton","O/s Grapes PH  Moseley Road","O/s Grapes PH  Moseley Road","NA"
2011,"Wolverhampton","O/s Oceana Bilston street .","O/s Oceana Bilston street .","NA"
2011,"Wolverhampton","Oustide Yates, Wolverhampton","Oustide Yates, Wolverhampton","NA"
2011,"Wolverhampton","Outsdie yates' wine bar wolverhampton","Outsdie yates' wine bar wolverhampton","NA"
2011,"Wolverhampton","Outside Subway Sandwich Shop, Queens Square, Wolverhampton","Outside Subway Sandwich Shop, Queens Square, Wolverhampton","NA"
2011,"Wolverhampton","Outside the  Avondale","Outside the  Avondale","NA"
2011,"Wolverhampton","Outside the Indie Bar  .","Outside the Indie Bar  .","NA"
2011,"Wolverhampton","Outside Yates, North Street, Wolverhampton","Outside Yates, North Street, Wolverhampton","NA"
2011,"Wolverhampton","Owen Road","Owen Road","NA"
2011,"Wolverhampton","Parkfield Rd","Parkfield Rd","NA"
2011,"Wolverhampton","Penn Road","Penn Road","NA"
2011,"Wolverhampton","Penn Road, Wolves","Penn Road, Wolves","NA"
2011,"Wolverhampton","Pipers Row Wolverhampton","Pipers Row Wolverhampton","NA"
2011,"Wolverhampton","Pipers Row, Wolverhampton","Pipers Row, Wolverhampton","NA"
2011,"Wolverhampton","Pipers Row, W'ton.","Pipers Row, W'ton.","NA"
2011,"Wolverhampton","Powell St, woolverhampton","Powell St, woolverhampton","NA"
2011,"Wolverhampton","Prestwood Road","Prestwood Road","NA"
2011,"Wolverhampton","Pricess Street","Pricess Street","NA"
2011,"Wolverhampton","Pricess Street","Pricess Street","NA"
2011,"Wolverhampton","Prince Charles Pub,Bushbury","Prince Charles Pub,Bushbury","NA"
2011,"Wolverhampton","Princess St, Wton","Princess St, Wton","NA"
2011,"Wolverhampton","Princess street","Princess street","NA"
2011,"Wolverhampton","Princess street","Princess street","NA"
2011,"Wolverhampton","Princess Street","Princess Street","NA"
2011,"Wolverhampton","Princess Street","Princess Street","NA"
2011,"Wolverhampton","Princess Street","Princess Street","NA"
2011,"Wolverhampton","Princess Street,Walsall","Princess Street,Walsall","NA"
2011,"Wolverhampton","Prines St","Prines St","NA"
2011,"Wolverhampton","Probert Road, Wton","Probert Road, Wton","NA"
2011,"Wolverhampton","Prosser St, Wolves","Prosser St, Wolves","NA"
2011,"Wolverhampton","Prosser Street","Prosser Street","NA"
2011,"Wolverhampton","Prowell St","Prowell St","NA"
2011,"Wolverhampton","Queen Sq, Wton","Queen Sq, Wton","NA"
2011,"Wolverhampton","Queen Square","Queen Square","NA"
2011,"Wolverhampton","Queen square","Queen square","NA"
2011,"Wolverhampton","Queen Square","Queen Square","NA"
2011,"Wolverhampton","Queen Square, Wolverhampton","Queen Square, Wolverhampton","NA"
2011,"Wolverhampton","Queen Square, Wolverhampton","Queen Square, Wolverhampton","NA"
2011,"Wolverhampton","Queen Square, Wton","Queen Square, Wton","NA"
2011,"Wolverhampton","Queen Squsre, City Centre, Wolverhampton","Queen Squsre, City Centre, Wolverhampton","NA"
2011,"Wolverhampton","Queen St","Queen St","NA"
2011,"Wolverhampton","Queen St","Queen St","NA"
2011,"Wolverhampton","Queen St Wolverhampton","Queen St Wolverhampton","NA"
2011,"Wolverhampton","Queen St Wolverhampton","Queen St Wolverhampton","NA"
2011,"Wolverhampton","Queen St Wolverhampton","Queen St Wolverhampton","NA"
2011,"Wolverhampton","Queen St/Market St Wolverhampton","Queen St/Market St Wolverhampton","NA"
2011,"Wolverhampton","Queen St/Market Street  junction","Queen St/Market Street  junction","NA"
2011,"Wolverhampton","Queen Street","Queen Street","NA"
2011,"Wolverhampton","Queen Street","Queen Street","NA"
2011,"Wolverhampton","Queen Street","Queen Street","NA"
2011,"Wolverhampton","Queen Street","Queen Street","NA"
2011,"Wolverhampton","Queen Street","Queen Street","NA"
2011,"Wolverhampton","Queen Street, wolverhampton","Queen Street, wolverhampton","NA"
2011,"Wolverhampton","Queen Street, Wolverhampton","Queen Street, Wolverhampton","NA"
2011,"Wolverhampton","Queen Street, Wolverhampton","Queen Street, Wolverhampton","NA"
2011,"Wolverhampton","Queen Street, wÛton","Queen Street, wÛton","NA"
2011,"Wolverhampton","Queens Square, Wolverhampton","Queens Square, Wolverhampton","NA"
2011,"Wolverhampton","QUEENS SQUARE, WOLVERHAMPTON","QUEENS SQUARE, WOLVERHAMPTON","NA"
2011,"Wolverhampton","Queens Street","Queens Street","NA"
2011,"Wolverhampton","Rear of Civic Centre Wolverhampton","Rear of Civic Centre Wolverhampton","NA"
2011,"Wolverhampton","Ring Road","Ring Road","NA"
2011,"Wolverhampton","Ring Road St Georges, Wolves.","Ring Road St Georges, Wolves.","NA"
2011,"Wolverhampton","Royal London P/H,Wolves City centre.","Royal London P/H,Wolves City centre.","NA"
2011,"Wolverhampton","Sainsburys St Georges","Sainsburys St Georges","NA"
2011,"Wolverhampton","Salop st, wolverhampton","Salop st, wolverhampton","NA"
2011,"Wolverhampton","Salop St, Wolves.","Salop St, Wolves.","NA"
2011,"Wolverhampton","School St, Wton","School St, Wton","NA"
2011,"Wolverhampton","School Street","School Street","NA"
2011,"Wolverhampton","School Street","School Street","NA"
2011,"Wolverhampton","School Street, wÛton","School Street, wÛton","NA"
2011,"Wolverhampton","School Street, W'ton.","School Street, W'ton.","NA"
2011,"Wolverhampton","Showell Circus","Showell Circus","NA"
2011,"Wolverhampton","St Georges parade, wolverhampton","St Georges parade, wolverhampton","NA"
2011,"Wolverhampton","St Georges Parade, Wolverhampton","St Georges Parade, Wolverhampton","NA"
2011,"Wolverhampton","Stafford road, wolverhampton","Stafford road, wolverhampton","NA"
2011,"Wolverhampton","Stafford St","Stafford St","NA"
2011,"Wolverhampton","Stafford St, Wton","Stafford St, Wton","NA"
2011,"Wolverhampton","Stafford Street","Stafford Street","NA"
2011,"Wolverhampton","Stafford Street","Stafford Street","NA"
2011,"Wolverhampton","Stafford Street, Wolverhampton.","Stafford Street, Wolverhampton.","NA"
2011,"Wolverhampton","Steel Park Lane, Wton","Steel Park Lane, Wton","NA"
2011,"Wolverhampton","Subway under traffic island at junction of Ring Road and Bilston Street","Subway under traffic island at junction of Ring Road and Bilston Street","NA"
2011,"Wolverhampton","Sweetman Street, Wton","Sweetman Street, Wton","NA"
2011,"Wolverhampton","Temple St","Temple St","NA"
2011,"Wolverhampton","Tettenhall Road","Tettenhall Road","NA"
2011,"Wolverhampton","Tettenhall Road","Tettenhall Road","NA"
2011,"Wolverhampton","The Varsity, City Centre","The Varsity, City Centre","NA"
2011,"Wolverhampton","Thornley Street","Thornley Street","NA"
2011,"Wolverhampton","Tower Street","Tower Street","NA"
2011,"Wolverhampton","Train Station, Wolverhampton","Train Station, Wolverhampton","NA"
2011,"Wolverhampton","Trysull Road","Trysull Road","NA"
2011,"Wolverhampton","Vicarage Road, Wton","Vicarage Road, Wton","NA"
2011,"Wolverhampton","Victoria Road","Victoria Road","NA"
2011,"Wolverhampton","Victoria Road, Wfield, Wton","Victoria Road, Wfield, Wton","NA"
2011,"Wolverhampton","VIctoria Road, Wfield,Wton","VIctoria Road, Wfield,Wton","NA"
2011,"Wolverhampton","Victoria st","Victoria st","NA"
2011,"Wolverhampton","Victoria Street","Victoria Street","NA"
2011,"Wolverhampton","Victoria Street","Victoria Street","NA"
2011,"Wolverhampton","Victoria Street, Wolverhampton","Victoria Street, Wolverhampton","NA"
2011,"Wolverhampton","Victoria Street, Wolverhampton","Victoria Street, Wolverhampton","NA"
2011,"Wolverhampton","Victoria Street, WÛton","Victoria Street, WÛton","NA"
2011,"Wolverhampton","Villiers Avenue, Wolverhampton","Villiers Avenue, Wolverhampton","NA"
2011,"Wolverhampton","Wallace Rd","Wallace Rd","NA"
2011,"Wolverhampton","Wallace Road, Bradley","Wallace Road, Bradley","NA"
2011,"Wolverhampton","Walsall St, Bilston.","Walsall St, Bilston.","NA"
2011,"Wolverhampton","Wanderers Avenue, Blakenhall","Wanderers Avenue, Blakenhall","NA"
2011,"Wolverhampton","Wanderers Avenue, Wton","Wanderers Avenue, Wton","NA"
2011,"Wolverhampton","Warnford Walk, Merry Hill, wÛton","Warnford Walk, Merry Hill, wÛton","NA"
2011,"Wolverhampton","Warstones drive","Warstones drive","NA"
2011,"Wolverhampton","Waterloo Rd","Waterloo Rd","NA"
2011,"Wolverhampton","Waterloo Rd Wolverhampton","Waterloo Rd Wolverhampton","NA"
2011,"Wolverhampton","Wednesfield High Street, Wolves.","Wednesfield High Street, Wolves.","NA"
2011,"Wolverhampton","Wellington Road","Wellington Road","NA"
2011,"Wolverhampton","White Oaks Street, Wton","White Oaks Street, Wton","NA"
2011,"Wolverhampton","Whitegates drive coseley","Whitegates drive coseley","NA"
2011,"Wolverhampton","Willenhall Road, East Park, Wolverhampton","Willenhall Road, East Park, Wolverhampton","NA"
2011,"Wolverhampton","Willenhall Road, Jtn Deans Road, Wton","Willenhall Road, Jtn Deans Road, Wton","NA"
2011,"Wolverhampton","William Hill Market Street","William Hill Market Street","NA"
2011,"Wolverhampton","Wolverhamptn Train Station","Wolverhamptn Train Station","NA"
2011,"Wolverhampton","Wolverhampton  train station","Wolverhampton  train station","NA"
2011,"Wolverhampton","Wolverhampton Railway Station","Wolverhampton Railway Station","NA"
2011,"Wolverhampton","Wolverhampton Railway Station","Wolverhampton Railway Station","NA"
2011,"Wolverhampton","Wolverhampton Railway Station","Wolverhampton Railway Station","NA"
2011,"Wolverhampton","Wolverhampton road wednesfield","Wolverhampton road wednesfield","NA"
2011,"Wolverhampton","Wolverhampton Road, Wednesfield, Wton","Wolverhampton Road, Wednesfield, Wton","NA"
2011,"Wolverhampton","Wolverhampton train station","Wolverhampton train station","NA"
2011,"Wolverhampton","Wolves railway station","Wolves railway station","NA"
2011,"Wolverhampton","Wood End Road, Wednesfield","Wood End Road, Wednesfield","NA"
2011,"Wolverhampton","Woodland Avenue, Tettenhall Wood","Woodland Avenue, Tettenhall Wood","NA"
2011,"Wolverhampton","Woolpack Alley","Woolpack Alley","NA"
2011,"Wolverhampton","Wordsworth Avenue","Wordsworth Avenue","NA"
2011,"Wolverhampton","Wton Train Station","Wton Train Station","NA"
2011,"Wolverhampton","WV Front office","WV Front office","NA"
2011,"Wolverhampton","WVFO","WVFO","NA"
2011,"Wolverhampton","WVFO","WVFO","NA"
2012,"Birmingham","Clemence road","Clemence road","NA"
2012,"Birmingham","Clemence road","Clemence road","NA"
2012,"Birmingham","Clemence road","Clemence road","NA"
2012,"Birmingham","Clemence road","Clemence road","NA"
2012,"Birmingham","Clemence road","Clemence road","NA"
2012,"Birmingham","Acocks green police station","Acocks green police station","NA"
2012,"Birmingham","Albert Road","Albert Road","NA"
2012,"Birmingham","Alcester Rd moseley","Alcester Rd moseley","NA"
2012,"Birmingham","Alcester Road","Alcester Road","NA"
2012,"Birmingham","Alcester road","Alcester road","NA"
2012,"Birmingham","ALCESTER ROAD MOSELEY","ALCESTER ROAD MOSELEY","NA"
2012,"Birmingham","Alcester Road Moseley","Alcester Road Moseley","NA"
2012,"Birmingham","Alcester Road Outside Cross PH","Alcester Road Outside Cross PH","NA"
2012,"Birmingham","Alcester Road, Moseley.","Alcester Road, Moseley.","NA"
2012,"Birmingham","Alecester Road","Alecester Road","NA"
2012,"Birmingham","Alum Rock Road","Alum Rock Road","NA"
2012,"Birmingham","Alum Rock Road","Alum Rock Road","NA"
2012,"Birmingham","Alum Rock Road","Alum Rock Road","NA"
2012,"Birmingham","Alum Rock Road, Alum Rock","Alum Rock Road, Alum Rock","NA"
2012,"Birmingham","Banford Road, Ward End","Banford Road, Ward End","NA"
2012,"Birmingham","BELCHERS LANE","BELCHERS LANE","NA"
2012,"Birmingham","Belgrave Middle way","Belgrave Middle way","NA"
2012,"Birmingham","Belgravia Close","Belgravia Close","NA"
2012,"Birmingham","BENNETTS HILL CITY CENTRE","BENNETTS HILL CITY CENTRE","NA"
2012,"Birmingham","Berkely Road","Berkely Road","NA"
2012,"Birmingham","Birchley Rise @ Wagon Lane, Olton","Birchley Rise @ Wagon Lane, Olton","NA"
2012,"Birmingham","Birchtree Drive","Birchtree Drive","NA"
2012,"Birmingham","Birmingham New Street","Birmingham New Street","NA"
2012,"Birmingham","Birmingham Road, Castle Bromwich","Birmingham Road, Castle Bromwich","NA"
2012,"Birmingham","Birmingham Road, Sutton Coldfield","Birmingham Road, Sutton Coldfield","NA"
2012,"Birmingham","Bistol Road Selly Oak","Bistol Road Selly Oak","NA"
2012,"Birmingham","Blake Place. Bordesley Green","Blake Place. Bordesley Green","NA"
2012,"Birmingham","Bordesley Green","Bordesley Green","NA"
2012,"Birmingham","Bordesley Green East","Bordesley Green East","NA"
2012,"Birmingham","Bordesley Green Road, Bordesley Green","Bordesley Green Road, Bordesley Green","NA"
2012,"Birmingham","Bordesley Green.","Bordesley Green.","NA"
2012,"Birmingham","Bordesly Green, Bordesley Green","Bordesly Green, Bordesley Green","NA"
2012,"Birmingham","Boscombe Road, Tyseley,","Boscombe Road, Tyseley,","NA"
2012,"Birmingham","Bournville lane","Bournville lane","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol Road South","Bristol Road South","NA"
2012,"Birmingham","Broad Street","Broad Street","NA"
2012,"Birmingham","Broad Street","Broad Street","NA"
2012,"Birmingham","Broad Street","Broad Street","NA"
2012,"Birmingham","Broad Street","Broad Street","NA"
2012,"Birmingham","Brookhill Road","Brookhill Road","NA"
2012,"Birmingham","Brooklands Road","Brooklands Road","NA"
2012,"Birmingham","Brunswick road","Brunswick road","NA"
2012,"Birmingham","BULLS HEAD, MOSELY","BULLS HEAD, MOSELY","NA"
2012,"Birmingham","Caldwell Road","Caldwell Road","NA"
2012,"Birmingham","Church Road, Yardley","Church Road, Yardley","NA"
2012,"Birmingham","Church Road, Yardley","Church Road, Yardley","NA"
2012,"Birmingham","Church Road, Yew Tree","Church Road, Yew Tree","NA"
2012,"Birmingham","Clodeshall Road","Clodeshall Road","NA"
2012,"Birmingham","Coleshill Road","Coleshill Road","NA"
2012,"Birmingham","Cotterills Lane","Cotterills Lane","NA"
2012,"Birmingham","Coventry  Road","Coventry  Road","NA"
2012,"Birmingham","Coventry rd , Sheldon , Nr British legion Ivy Leaf.","Coventry rd , Sheldon , Nr British legion Ivy Leaf.","NA"
2012,"Birmingham","Coventry Rd.","Coventry Rd.","NA"
2012,"Birmingham","Coventry Road","Coventry Road","NA"
2012,"Birmingham","Coventry Road, Small Heath","Coventry Road, Small Heath","NA"
2012,"Birmingham","CranesPark Road","CranesPark Road","NA"
2012,"Birmingham","Dale End","Dale End","NA"
2012,"Birmingham","Drews Lane, Ward End","Drews Lane, Ward End","NA"
2012,"Birmingham","Elizabeth Road","Elizabeth Road","NA"
2012,"Birmingham","Emily Road, Acocks Green, Birmingham","Emily Road, Acocks Green, Birmingham","NA"
2012,"Birmingham","Flaxton Grove, Kitts Green","Flaxton Grove, Kitts Green","NA"
2012,"Birmingham","Foxton Road, Washwood Heath","Foxton Road, Washwood Heath","NA"
2012,"Birmingham","FRONT OFFCIE KINGS HEATH POLICE STATION","FRONT OFFCIE KINGS HEATH POLICE STATION","NA"
2012,"Birmingham","Front Office, Stechford Police Station","Front Office, Stechford Police Station","NA"
2012,"Birmingham","Gibbins road","Gibbins road","NA"
2012,"Birmingham","Gilsan Way","Gilsan Way","NA"
2012,"Birmingham","Gospel Farm Road","Gospel Farm Road","NA"
2012,"Birmingham","Gospel Lane, Acocks Green","Gospel Lane, Acocks Green","NA"
2012,"Birmingham","Green lane Bordesley Green","Green lane Bordesley Green","NA"
2012,"Birmingham","Greswold road","Greswold road","NA"
2012,"Birmingham","Harbourne Road Harbourne","Harbourne Road Harbourne","NA"
2012,"Birmingham","Hazelville Road,  Hall Green","Hazelville Road,  Hall Green","NA"
2012,"Birmingham","Heartlands Hospital","Heartlands Hospital","NA"
2012,"Birmingham","Heartlands Hospital","Heartlands Hospital","NA"
2012,"Birmingham","Heartlands Hospital","Heartlands Hospital","NA"
2012,"Birmingham","Heartlands hospital","Heartlands hospital","NA"
2012,"Birmingham","Heathfield road","Heathfield road","NA"
2012,"Birmingham","Herrick Road","Herrick Road","NA"
2012,"Birmingham","High Street","High Street","NA"
2012,"Birmingham","High Street Kings Heath","High Street Kings Heath","NA"
2012,"Birmingham","High Street Solihull","High Street Solihull","NA"
2012,"Birmingham","Highfield Road","Highfield Road","NA"
2012,"Birmingham","Highfield Road Spark Brook.","Highfield Road Spark Brook.","NA"
2012,"Birmingham","Home Address","Home Address","NA"
2012,"Birmingham","Homer Rd near Holiday Inn","Homer Rd near Holiday Inn","NA"
2012,"Birmingham","Horrell Road Sheldon","Horrell Road Sheldon","NA"
2012,"Birmingham","Ivy House Road West Heath","Ivy House Road West Heath","NA"
2012,"Birmingham","Jakeman Road","Jakeman Road","NA"
2012,"Birmingham","Juniper close","Juniper close","NA"
2012,"Birmingham","Kemberton Road","Kemberton Road","NA"
2012,"Birmingham","Kings heath high st","Kings heath high st","NA"
2012,"Birmingham","Kings Norton Green","Kings Norton Green","NA"
2012,"Birmingham","Lady pool road","Lady pool road","NA"
2012,"Birmingham","Lady Pool Road","Lady Pool Road","NA"
2012,"Birmingham","Ladypool Road","Ladypool Road","NA"
2012,"Birmingham","Lea Hall Road","Lea Hall Road","NA"
2012,"Birmingham","Lower Severn Street","Lower Severn Street","NA"
2012,"Birmingham","Mary Street","Mary Street","NA"
2012,"Birmingham","Mary Street","Mary Street","NA"
2012,"Birmingham","Middle park road","Middle park road","NA"
2012,"Birmingham","Milestone house","Milestone house","NA"
2012,"Birmingham","Milestone house","Milestone house","NA"
2012,"Birmingham","Milestone house","Milestone house","NA"
2012,"Birmingham","Monyhull Road","Monyhull Road","NA"
2012,"Birmingham","Moseley Road","Moseley Road","NA"
2012,"Birmingham","New Street Railway Station","New Street Railway Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","Northliegh rd ward end","Northliegh rd ward end","NA"
2012,"Birmingham","O/S Assembly Rooms, Poplar Way, Solihull","O/S Assembly Rooms, Poplar Way, Solihull","NA"
2012,"Birmingham","O/S Assembly Rooms, Solihull Town Centre","O/S Assembly Rooms, Solihull Town Centre","NA"
2012,"Birmingham","O/s Chargrill Chicken, Coventry Road","O/s Chargrill Chicken, Coventry Road","NA"
2012,"Birmingham","Olton Boulevard East","Olton Boulevard East","NA"
2012,"Birmingham","OUT SIDE FISH BAR HOBMOORE ROAD.","OUT SIDE FISH BAR HOBMOORE ROAD.","NA"
2012,"Birmingham","Outside Arden oak pub","Outside Arden oak pub","NA"
2012,"Birmingham","Outside st colombia nursery ,alcester road","Outside st colombia nursery ,alcester road","NA"
2012,"Birmingham","Outside the Bulls Head","Outside the Bulls Head","NA"
2012,"Birmingham","Parker Street, Edgbaston","Parker Street, Edgbaston","NA"
2012,"Birmingham","Parkland on The Heathway","Parkland on The Heathway","NA"
2012,"Birmingham","Partridge Road","Partridge Road","NA"
2012,"Birmingham","Pershore Road","Pershore Road","NA"
2012,"Birmingham","Plymouth Road, Stirchley","Plymouth Road, Stirchley","NA"
2012,"Birmingham","Poplar Road, Solihull","Poplar Road, Solihull","NA"
2012,"Birmingham","Rea road","Rea road","NA"
2012,"Birmingham","Regency Hotel","Regency Hotel","NA"
2012,"Birmingham","RUNCURN ROAD, BALSALL HEATH","RUNCURN ROAD, BALSALL HEATH","NA"
2012,"Birmingham","School road","School road","NA"
2012,"Birmingham","Sheath Lane","Sheath Lane","NA"
2012,"Birmingham","Sheldon Heath Park","Sheldon Heath Park","NA"
2012,"Birmingham","Shirley Road, Acocks Green.","Shirley Road, Acocks Green.","NA"
2012,"Birmingham","Solihull Town Centre","Solihull Town Centre","NA"
2012,"Birmingham","St Marys Road","St Marys Road","NA"
2012,"Birmingham","St Marys Row","St Marys Row","NA"
2012,"Birmingham","St Mary's Row, Moseley","St Mary's Row, Moseley","NA"
2012,"Birmingham","St Pauls road","St Pauls road","NA"
2012,"Birmingham","St Pauls road","St Pauls road","NA"
2012,"Birmingham","Station Road Stechford","Station Road Stechford","NA"
2012,"Birmingham","Station Road Stechford","Station Road Stechford","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Station Road, Solihul","Station Road, Solihul","NA"
2012,"Birmingham","Stechford police station","Stechford police station","NA"
2012,"Birmingham","Stechford Swimming Baths","Stechford Swimming Baths","NA"
2012,"Birmingham","Stoney lane","Stoney lane","NA"
2012,"Birmingham","Stratford Road","Stratford Road","NA"
2012,"Birmingham","STRATFORD ROAD, SPARKBROOK","STRATFORD ROAD, SPARKBROOK","NA"
2012,"Birmingham","Stratford Road, Sparkhill","Stratford Road, Sparkhill","NA"
2012,"Birmingham","SUMMERFIELD ROAD, WEOLEY CASTLE","SUMMERFIELD ROAD, WEOLEY CASTLE","NA"
2012,"Birmingham","Sunbeam way.","Sunbeam way.","NA"
2012,"Birmingham","Swanshurst Park","Swanshurst Park","NA"
2012,"Birmingham","The Parade Sutton Coldfield","The Parade Sutton Coldfield","NA"
2012,"Birmingham","The Radleys","The Radleys","NA"
2012,"Birmingham","Tile Cross Road","Tile Cross Road","NA"
2012,"Birmingham","Tote Betting shop, Alum Rock Road","Tote Betting shop, Alum Rock Road","NA"
2012,"Birmingham","Turnburry Road","Turnburry Road","NA"
2012,"Birmingham","Umberslade Road, Selly Oak","Umberslade Road, Selly Oak","NA"
2012,"Birmingham","VICARAGE ROAD, KINGHS HEATH","VICARAGE ROAD, KINGHS HEATH","NA"
2012,"Birmingham","Victoria Road, Bordesley Green","Victoria Road, Bordesley Green","NA"
2012,"Birmingham","WAKE GREEN ROAD","WAKE GREEN ROAD","NA"
2012,"Birmingham","Ward End Park","Ward End Park","NA"
2012,"Birmingham","Warwich rd","Warwich rd","NA"
2012,"Birmingham","Warwick Road","Warwick Road","NA"
2012,"Birmingham","Warwick road, accocks green","Warwick road, accocks green","NA"
2012,"Birmingham","Wash Lane","Wash Lane","NA"
2012,"Birmingham","Washwood heath road","Washwood heath road","NA"
2012,"Birmingham","Washwood Heath Road","Washwood Heath Road","NA"
2012,"Birmingham","Watson Road, Alum Rock","Watson Road, Alum Rock","NA"
2012,"Birmingham","Wheatcroft Road, Chelmesley Wood","Wheatcroft Road, Chelmesley Wood","NA"
2012,"Birmingham","WHEATSHEAF PH COVENTRY ROAD, SHELDON","WHEATSHEAF PH COVENTRY ROAD, SHELDON","NA"
2012,"Birmingham","WheatSheaf, Coventry Road.","WheatSheaf, Coventry Road.","NA"
2012,"Birmingham","William Hill Bookmakers, Washwood Heath Road","William Hill Bookmakers, Washwood Heath Road","NA"
2012,"Birmingham","Woodbridge rd","Woodbridge rd","NA"
2012,"Birmingham","Woodbridge Road","Woodbridge Road","NA"
2012,"Birmingham","ACORN PUBLIC HOUSE","ACORN PUBLIC HOUSE","NA"
2012,"Birmingham","Atlantic Rd","Atlantic Rd","NA"
2012,"Birmingham","Aylesbury Crescent, Kingstanding, B'ham","Aylesbury Crescent, Kingstanding, B'ham","NA"
2012,"Birmingham","Beggers bush","Beggers bush","NA"
2012,"Birmingham","Bendall rd. kingstanding","Bendall rd. kingstanding","NA"
2012,"Birmingham","Berryfields Road, Walmley, Sutton Coldfield","Berryfields Road, Walmley, Sutton Coldfield","NA"
2012,"Birmingham","Birmingham Rd","Birmingham Rd","NA"
2012,"Birmingham","Birmingham Road","Birmingham Road","NA"
2012,"Birmingham","Birmingham Road","Birmingham Road","NA"
2012,"Birmingham","Birmingham Road","Birmingham Road","NA"
2012,"Birmingham","Birmingham Road, Wylde Green","Birmingham Road, Wylde Green","NA"
2012,"Birmingham","Birmingham Road, Wylde Green","Birmingham Road, Wylde Green","NA"
2012,"Birmingham","Boldmere Road","Boldmere Road","NA"
2012,"Birmingham","Bottle of Sack","Bottle of Sack","NA"
2012,"Birmingham","Boundary Road, Erdington","Boundary Road, Erdington","NA"
2012,"Birmingham","Brassington Avenue, Sutton Coldfield","Brassington Avenue, Sutton Coldfield","NA"
2012,"Birmingham","Broad St]#","Broad St]#","NA"
2012,"Birmingham","Capilano Road, Erdington","Capilano Road, Erdington","NA"
2012,"Birmingham","Car Park Lidl Pelham Rd aLUM rOCK","Car Park Lidl Pelham Rd aLUM rOCK","NA"
2012,"Birmingham","CAR PARK OF OLD SPECKLED HEN PUBLIC HOUSE MERE GREEN","CAR PARK OF OLD SPECKLED HEN PUBLIC HOUSE MERE GREEN","NA"
2012,"Birmingham","Car Park Reddicap Tavern, Hollyfield Road, Falcon Lodge","Car Park Reddicap Tavern, Hollyfield Road, Falcon Lodge","NA"
2012,"Birmingham","Car park, Kenilworth Court, Wheelwright Rd","Car park, Kenilworth Court, Wheelwright Rd","NA"
2012,"Birmingham","Chester Road","Chester Road","NA"
2012,"Birmingham","Chesterfield Grove, Pype Hayes","Chesterfield Grove, Pype Hayes","NA"
2012,"Birmingham","Chipstead Road","Chipstead Road","NA"
2012,"Birmingham","Church Road, Erdington","Church Road, Erdington","NA"
